INFO:root:Instance 22 (105,0)
INFO:root:Participant 1: Actor1425
INFO:root:Participant 2: Actor0581
INFO:root:Participant 3: Actor0620
INFO:root:Participant 4: Actor0060
INFO:root:Participant 5: Actor0118
INFO:root:Participant 6: Actor0377
INFO:root:Participant 7: Actor1418
INFO:root:Participant 8: Actor1001
INFO:root:Participant 9: Actor0760
INFO:root:Participant 10: Actor1078
INFO:root:Participant 11: Actor0578
INFO:root:Participant 12: Actor0408
INFO:root:Participant 13: Actor0779
INFO:root:Participant 14: Actor1186
INFO:root:Participant 15: Actor0504
INFO:root:Participant 16: Actor1039
INFO:root:Participant 17: Actor0645
INFO:root:Participant 18: Actor0117
INFO:root:Participant 19: Actor1056
INFO:root:Participant 20: Actor1409
INFO:root:Participant 21: Actor0975
INFO:root:Participant 22: Actor0939
INFO:root:Participant 23: Actor0608
INFO:root:Participant 24: Actor1158
INFO:root:Participant 25: Actor0792
INFO:root:Participant 26: Actor0294
INFO:root:Participant 27: Actor0832
INFO:root:Participant 28: Actor0224
INFO:root:Participant 29: Actor1284
INFO:root:Participant 30: Actor0541
INFO:root:Participant 31: Actor1295
INFO:root:Participant 32: Actor0803
INFO:root:Participant 33: Actor0388
INFO:root:Participant 34: Actor1006
INFO:root:Participant 35: Actor0926
INFO:root:Participant 36: Actor0020
INFO:root:Participant 37: Actor1309
INFO:root:Participant 38: Actor0968
INFO:root:Participant 39: Actor1116
INFO:root:Participant 40: Actor1423
INFO:root:Participant 41: Actor1169
INFO:root:Participant 42: Actor1024
INFO:root:Participant 43: Actor1055
INFO:root:Participant 44: Actor0376
INFO:root:Participant 45: Actor0051
INFO:root:Participant 46: Actor0534
INFO:root:Participant 47: Actor0631
INFO:root:Participant 48: Actor1181
INFO:root:Participant 49: Actor0526
INFO:root:Participant 50: Actor1215
INFO:root:Participant 51: Actor0943
INFO:root:Participant 52: Actor1154
INFO:root:Participant 53: Actor1041
INFO:root:Participant 54: Actor1374
INFO:root:Participant 55: Actor0716
INFO:root:Participant 56: Actor0178
INFO:root:Participant 57: Actor0491
INFO:root:Participant 58: Actor0898
INFO:root:Participant 59: Actor0337
INFO:root:Participant 60: Actor0465
INFO:root:Participant 61: Actor0953
INFO:root:Participant 62: Actor1354
INFO:root:Participant 63: Actor1469
INFO:root:Participant 64: Actor0693
INFO:root:Participant 65: Actor1478
INFO:root:Participant 66: Actor1439
INFO:root:Participant 67: Actor0781
INFO:root:Participant 68: Actor0896
INFO:root:Participant 69: Actor0090
INFO:root:Participant 70: Actor1114
INFO:root:Participant 71: Actor1372
INFO:root:Participant 72: Actor0889
INFO:root:Participant 73: Actor1410
INFO:root:Participant 74: Actor0208
INFO:root:Participant 75: Actor0069
INFO:root:Participant 76: Actor0354
INFO:root:Participant 77: Actor0927
INFO:root:Participant 78: Actor0737
INFO:root:Participant 79: Actor1352
INFO:root:Participant 80: Actor1102
INFO:root:Participant 81: Actor0515
INFO:root:Participant 82: Actor0139
INFO:root:Participant 83: Actor0815
INFO:root:Participant 84: Actor0517
INFO:root:Participant 85: Actor1473
INFO:root:Participant 86: Actor1221
INFO:root:Participant 87: Actor1489
INFO:root:Participant 88: Actor0241
INFO:root:Participant 89: Actor1383
INFO:root:Participant 90: Actor1089
INFO:root:Participant 91: Actor0636
INFO:root:Participant 92: Actor1235
INFO:root:Participant 93: Actor1046
INFO:root:Participant 94: Actor1494
INFO:root:Participant 95: Actor1332
INFO:root:Participant 96: Actor0603
INFO:root:Participant 97: Actor0554
INFO:root:Participant 98: Actor1490
INFO:root:Participant 99: Actor0741
INFO:root:Participant 100: Actor1324
INFO:root:Participant 101: Actor0852
INFO:root:Participant 102: Actor0228
INFO:root:Participant 103: Actor0789
INFO:root:Participant 104: Actor0414
INFO:root:Participant 105: Actor0855
INFO:root:Participant 106: Actor1187
INFO:root:Participant 107: Actor1190
INFO:root:Participant 108: Actor1413
INFO:root:Participant 109: Actor1093
INFO:root:Participant 110: Actor0661
INFO:root:Participant 111: Actor0930
INFO:root:Participant 112: Actor1170
INFO:root:Participant 113: Actor0667
INFO:root:Participant 114: Actor0392
INFO:root:Participant 115: Actor0532
INFO:root:Participant 116: Actor0041
INFO:root:Participant 117: Actor0954
INFO:root:Participant 118: Actor0962
INFO:root:Participant 119: Actor0976
INFO:root:Participant 120: Actor0983
INFO:root:Participant 121: Actor1068
INFO:root:Participant 122: Actor0980
INFO:root:Participant 123: Actor1306
INFO:root:Participant 124: Actor1464
INFO:root:Participant 125: Actor0817
INFO:root:Participant 126: Actor0944
INFO:root:Participant 127: Actor0437
INFO:root:Participant 128: Actor0664
INFO:root:Participant 129: Actor0784
INFO:root:Participant 130: Actor1206
INFO:root:Participant 131: Actor0331
INFO:root:Participant 132: Actor1420
INFO:root:Participant 133: Actor1071
INFO:root:Participant 134: Actor0984
INFO:root:Participant 135: Actor1347
INFO:root:Participant 136: Actor0271
INFO:root:Participant 137: Actor1150
INFO:root:Participant 138: Actor1115
INFO:root:Participant 139: Actor1182
INFO:root:Participant 140: Actor0540
INFO:root:Participant 141: Actor1449
INFO:root:Participant 142: Actor1438
INFO:root:Participant 143: Actor1399
INFO:root:Participant 144: Actor0079
INFO:root:Participant 145: Actor0742
INFO:root:Participant 146: Actor0811
INFO:root:Participant 147: Actor1230
INFO:root:Participant 148: Actor0379
INFO:root:Participant 149: Actor0655
INFO:root:Participant 150: Actor1198
INFO:root:Participant 151: Actor0124
INFO:root:Participant 152: Actor1245
INFO:root:Participant 153: Actor1128
INFO:root:Participant 154: Actor1412
INFO:root:Participant 155: Actor0425
INFO:root:Participant 156: Actor0428
INFO:root:Participant 157: Actor1485
INFO:root:Participant 158: Actor1298
INFO:root:Participant 159: Actor0907
INFO:root:Participant 160: Actor0077
INFO:root:Participant 161: Actor0922
INFO:root:Participant 162: Actor0695
INFO:root:Participant 163: Actor1100
INFO:root:Participant 164: Actor0385
INFO:root:Participant 165: Actor1028
INFO:root:Participant 166: Actor1452
INFO:root:Participant 167: Actor1103
INFO:root:Participant 168: Actor0488
INFO:root:Participant 169: Actor1064
INFO:root:Participant 170: Actor0674
INFO:root:Participant 171: Actor0802
INFO:root:Participant 172: Actor0659
INFO:root:Participant 173: Actor0972
INFO:root:Participant 174: Actor1042
INFO:root:Participant 175: Actor0087
INFO:root:Participant 176: Actor0747
INFO:root:Participant 177: Actor1261
INFO:root:Participant 178: Actor0182
INFO:root:Participant 179: Actor0820
INFO:root:Participant 180: Actor0829
INFO:root:Participant 181: Actor1209
INFO:root:Participant 182: Actor0812
INFO:root:Participant 183: Actor0493
INFO:root:Participant 184: Actor1088
INFO:root:Participant 185: Actor1403
INFO:root:Participant 186: Actor1029
INFO:root:Participant 187: Actor0049
INFO:root:Participant 188: Actor0235
