INFO:root:Instance 22 (105,0)
INFO:root:Participant 1: Actor1443
INFO:root:Participant 2: Actor0685
INFO:root:Participant 3: Actor0592
INFO:root:Participant 4: Actor0295
INFO:root:Participant 5: Actor0520
INFO:root:Participant 6: Actor0987
INFO:root:Participant 7: Actor0619
INFO:root:Participant 8: Actor1179
INFO:root:Participant 9: Actor1093
INFO:root:Participant 10: Actor1323
INFO:root:Participant 11: Actor0809
INFO:root:Participant 12: Actor0068
INFO:root:Participant 13: Actor1279
INFO:root:Participant 14: Actor0302
INFO:root:Participant 15: Actor0506
INFO:root:Participant 16: Actor0425
INFO:root:Participant 17: Actor1500
INFO:root:Participant 18: Actor1232
INFO:root:Participant 19: Actor1433
INFO:root:Participant 20: Actor1000
INFO:root:Participant 21: Actor0762
INFO:root:Participant 22: Actor0187
INFO:root:Participant 23: Actor0546
INFO:root:Participant 24: Actor1229
INFO:root:Participant 25: Actor0745
INFO:root:Participant 26: Actor0986
INFO:root:Participant 27: Actor0422
INFO:root:Participant 28: Actor1375
INFO:root:Participant 29: Actor0219
INFO:root:Participant 30: Actor1456
INFO:root:Participant 31: Actor0955
INFO:root:Participant 32: Actor0453
INFO:root:Participant 33: Actor1455
INFO:root:Participant 34: Actor0799
INFO:root:Participant 35: Actor0375
INFO:root:Participant 36: Actor0763
INFO:root:Participant 37: Actor1017
INFO:root:Participant 38: Actor0682
INFO:root:Participant 39: Actor1094
INFO:root:Participant 40: Actor0705
INFO:root:Participant 41: Actor1063
INFO:root:Participant 42: Actor0234
INFO:root:Participant 43: Actor1248
INFO:root:Participant 44: Actor1185
INFO:root:Participant 45: Actor0337
INFO:root:Participant 46: Actor1368
INFO:root:Participant 47: Actor0631
INFO:root:Participant 48: Actor0052
INFO:root:Participant 49: Actor0569
INFO:root:Participant 50: Actor1292
INFO:root:Participant 51: Actor0795
INFO:root:Participant 52: Actor0780
INFO:root:Participant 53: Actor0541
INFO:root:Participant 54: Actor1166
INFO:root:Participant 55: Actor1145
INFO:root:Participant 56: Actor0588
INFO:root:Participant 57: Actor0879
INFO:root:Participant 58: Actor1348
INFO:root:Participant 59: Actor1325
INFO:root:Participant 60: Actor0532
INFO:root:Participant 61: Actor1175
INFO:root:Participant 62: Actor1383
INFO:root:Participant 63: Actor0260
INFO:root:Participant 64: Actor0015
INFO:root:Participant 65: Actor0749
INFO:root:Participant 66: Actor0613
INFO:root:Participant 67: Actor0951
INFO:root:Participant 68: Actor1359
INFO:root:Participant 69: Actor1062
INFO:root:Participant 70: Actor0095
INFO:root:Participant 71: Actor0668
INFO:root:Participant 72: Actor1178
INFO:root:Participant 73: Actor0251
INFO:root:Participant 74: Actor0421
INFO:root:Participant 75: Actor0934
INFO:root:Participant 76: Actor0513
INFO:root:Participant 77: Actor0736
INFO:root:Participant 78: Actor1105
INFO:root:Participant 79: Actor0238
INFO:root:Participant 80: Actor0808
INFO:root:Participant 81: Actor0696
INFO:root:Participant 82: Actor0018
INFO:root:Participant 83: Actor0326
INFO:root:Participant 84: Actor0957
INFO:root:Participant 85: Actor0315
INFO:root:Participant 86: Actor0351
INFO:root:Participant 87: Actor1169
INFO:root:Participant 88: Actor0690
INFO:root:Participant 89: Actor0922
INFO:root:Participant 90: Actor0742
INFO:root:Participant 91: Actor1301
INFO:root:Participant 92: Actor0691
INFO:root:Participant 93: Actor1420
INFO:root:Participant 94: Actor0070
INFO:root:Participant 95: Actor0483
INFO:root:Participant 96: Actor0711
INFO:root:Participant 97: Actor1265
INFO:root:Participant 98: Actor0786
INFO:root:Participant 99: Actor0645
INFO:root:Participant 100: Actor1240
INFO:root:Participant 101: Actor1066
INFO:root:Participant 102: Actor1053
INFO:root:Participant 103: Actor0671
INFO:root:Participant 104: Actor0791
INFO:root:Participant 105: Actor1259
INFO:root:Participant 106: Actor1402
INFO:root:Participant 107: Actor0579
INFO:root:Participant 108: Actor0944
INFO:root:Participant 109: Actor0459
INFO:root:Participant 110: Actor1114
INFO:root:Participant 111: Actor0152
INFO:root:Participant 112: Actor1160
INFO:root:Participant 113: Actor0855
INFO:root:Participant 114: Actor0434
INFO:root:Participant 115: Actor0979
INFO:root:Participant 116: Actor0655
INFO:root:Participant 117: Actor0526
INFO:root:Participant 118: Actor0974
INFO:root:Participant 119: Actor0777
INFO:root:Participant 120: Actor0528
INFO:root:Participant 121: Actor1150
INFO:root:Participant 122: Actor1441
INFO:root:Participant 123: Actor0153
INFO:root:Participant 124: Actor1340
INFO:root:Participant 125: Actor0643
INFO:root:Participant 126: Actor0160
INFO:root:Participant 127: Actor0683
INFO:root:Participant 128: Actor0099
INFO:root:Participant 129: Actor0834
INFO:root:Participant 130: Actor1405
INFO:root:Participant 131: Actor1250
INFO:root:Participant 132: Actor0630
INFO:root:Participant 133: Actor1354
INFO:root:Participant 134: Actor1181
INFO:root:Participant 135: Actor0921
INFO:root:Participant 136: Actor1434
INFO:root:Participant 137: Actor0250
INFO:root:Participant 138: Actor0084
INFO:root:Participant 139: Actor0202
INFO:root:Participant 140: Actor0142
INFO:root:Participant 141: Actor1221
INFO:root:Participant 142: Actor0882
INFO:root:Participant 143: Actor1167
INFO:root:Participant 144: Actor0595
INFO:root:Participant 145: Actor1014
INFO:root:Participant 146: Actor0826
INFO:root:Participant 147: Actor1376
INFO:root:Participant 148: Actor1393
INFO:root:Participant 149: Actor0769
INFO:root:Participant 150: Actor0854
INFO:root:Participant 151: Actor0308
INFO:root:Participant 152: Actor0266
INFO:root:Participant 153: Actor0886
INFO:root:Participant 154: Actor0271
INFO:root:Participant 155: Actor0136
INFO:root:Participant 156: Actor0191
INFO:root:Participant 157: Actor0424
INFO:root:Participant 158: Actor1258
INFO:root:Participant 159: Actor0931
INFO:root:Participant 160: Actor1439
INFO:root:Participant 161: Actor0355
INFO:root:Participant 162: Actor1148
INFO:root:Participant 163: Actor1202
INFO:root:Participant 164: Actor0016
INFO:root:Participant 165: Actor0620
INFO:root:Participant 166: Actor1173
INFO:root:Participant 167: Actor1092
INFO:root:Participant 168: Actor0850
INFO:root:Participant 169: Actor1497
INFO:root:Participant 170: Actor0984
INFO:root:Participant 171: Actor1435
INFO:root:Participant 172: Actor0748
INFO:root:Participant 173: Actor0820
INFO:root:Participant 174: Actor0124
INFO:root:Participant 175: Actor0144
INFO:root:Participant 176: Actor0929
INFO:root:Participant 177: Actor0263
INFO:root:Participant 178: Actor0130
INFO:root:Participant 179: Actor0707
INFO:root:Participant 180: Actor0891
INFO:root:Participant 181: Actor0695
INFO:root:Participant 182: Actor0085
INFO:root:Participant 183: Actor0210
INFO:root:Participant 184: Actor1372
INFO:root:Participant 185: Actor1291
INFO:root:Participant 186: Actor0949
INFO:root:Participant 187: Actor1215
INFO:root:Participant 188: Actor0244
