INFO:root:Instance 3
INFO:root:Participant 48: Actor0033
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: active Region01
INFO:root:{'System'}: active Region01
INFO:root:{'Nature'}: active Region01
INFO:root:{'Actor0033'}: active Region01
INFO:root:{'System'}: active Region01
INFO:root:{'Nature'}: active Region01
INFO:root:{'Actor0033'}: active Region02
INFO:root:{'System'}: active Region02
INFO:root:{'Nature'}: active Region02
INFO:root:{'Actor0033'}: active Region02
INFO:root:{'System'}: active Region02
INFO:root:{'Nature'}: active Region02
INFO:root:{'Actor0033'}: active Region03
INFO:root:{'System'}: active Region03
INFO:root:{'Nature'}: active Region03
INFO:root:{'Actor0033'}: active Region04
INFO:root:{'System'}: active Region04
INFO:root:{'Nature'}: active Region04
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
INFO:root:{'Actor0033'}: approaching Region01
INFO:root:{'System'}: approaching Region01
INFO:root:{'Nature'}: approaching Region01
