Name	Timestep	Value
Nature action	60	Nature-evolve
Nature category	60	3
Nature days	60	2
Nature location	60	Region11
Nature phase	60	active
Nature action	61	Nature-evolve
Nature category	61	3
Nature days	61	3
Nature location	61	Region07
Nature phase	61	active
Nature action	62	Nature-evolve
Nature category	62	3
Nature days	62	4
Nature location	62	Region08
Nature phase	62	active
Nature action	63	Nature-evolve
Nature category	63	3
Nature days	63	5
Nature location	63	Region08
Nature phase	63	active
Nature action	64	Nature-evolve
Nature category	64	3
Nature days	64	6
Nature location	64	Region04
Nature phase	64	active
Nature action	65	Nature-evolve
Nature category	65	3
Nature days	65	7
Nature location	65	Region04
Nature phase	65	active
Nature action	66	Nature-evolve
Nature category	66	3
Nature days	66	8
Nature location	66	Region04
Nature phase	66	active
Nature action	67	Nature-evolve
Nature category	67	3
Nature days	67	9
Nature location	67	none
Nature phase	67	active
Nature action	68	Nature-evolve
Nature category	68	0
Nature days	68	0
Nature location	68	none
Nature phase	68	none
Nature action	69	Nature-evolve
Nature category	69	0
Nature days	69	1
Nature location	69	none
Nature phase	69	none
Nature action	70	Nature-evolve
Nature category	70	0
Nature days	70	2
Nature location	70	none
Nature phase	70	none
Nature action	71	Nature-evolve
Nature category	71	0
Nature days	71	3
Nature location	71	none
Nature phase	71	none
Nature action	72	Nature-evolve
Nature category	72	2
Nature days	72	0
Nature location	72	Region05
Nature phase	72	approaching
Nature action	73	Nature-evolve
Nature category	73	2
Nature days	73	1
Nature location	73	Region05
Nature phase	73	approaching
Nature action	74	Nature-evolve
Nature category	74	3
Nature days	74	2
Nature location	74	Region05
Nature phase	74	approaching
Nature action	75	Nature-evolve
Nature category	75	4
Nature days	75	3
Nature location	75	Region05
Nature phase	75	approaching
Nature action	76	Nature-evolve
Nature category	76	4
Nature days	76	0
Nature location	76	Region05
Nature phase	76	active
Nature action	77	Nature-evolve
Nature category	77	4
Nature days	77	1
Nature location	77	Region06
Nature phase	77	active
Nature action	78	Nature-evolve
Nature category	78	4
Nature days	78	2
Nature location	78	Region02
Nature phase	78	active
Nature action	79	Nature-evolve
Nature category	79	4
Nature days	79	3
Nature location	79	none
Nature phase	79	active
Nature action	80	Nature-evolve
Nature category	80	0
Nature days	80	0
Nature location	80	none
Nature phase	80	none
Nature action	81	Nature-evolve
Nature category	81	0
Nature days	81	1
Nature location	81	none
Nature phase	81	none
Nature action	82	Nature-evolve
Nature category	82	0
Nature days	82	2
Nature location	82	none
Nature phase	82	none
Nature action	82	Nature-evolve
Nature category	82	0
Nature days	82	0
Nature location	82	none
Nature phase	82	none
Nature action	83	Nature-evolve
Nature category	83	0
Nature days	83	1
Nature location	83	none
Nature phase	83	none
Nature action	84	Nature-evolve
Nature category	84	0
Nature days	84	2
Nature location	84	none
Nature phase	84	none
Nature action	85	Nature-evolve
Nature category	85	2
Nature days	85	0
Nature location	85	Region09
Nature phase	85	approaching
Nature action	86	Nature-evolve
Nature category	86	3
Nature days	86	1
Nature location	86	Region09
Nature phase	86	approaching
Nature action	87	Nature-evolve
Nature category	87	3
Nature days	87	2
Nature location	87	Region09
Nature phase	87	approaching
Nature action	88	Nature-evolve
Nature category	88	3
Nature days	88	0
Nature location	88	Region09
Nature phase	88	active
Nature action	89	Nature-evolve
Nature category	89	3
Nature days	89	1
Nature location	89	Region10
Nature phase	89	active
Nature action	90	Nature-evolve
Nature category	90	3
Nature days	90	2
Nature location	90	Region06
Nature phase	90	active
Nature action	91	Nature-evolve
Nature category	91	3
Nature days	91	3
Nature location	91	Region02
Nature phase	91	active
Nature action	92	Nature-evolve
Nature category	92	3
Nature days	92	4
Nature location	92	none
Nature phase	92	active
Nature action	93	Nature-evolve
Nature category	93	0
Nature days	93	0
Nature location	93	none
Nature phase	93	none
Nature action	94	Nature-evolve
Nature category	94	0
Nature days	94	1
Nature location	94	none
Nature phase	94	none
Nature action	95	Nature-evolve
Nature category	95	0
Nature days	95	2
Nature location	95	none
Nature phase	95	none
Nature action	96	Nature-evolve
Nature category	96	3
Nature days	96	0
Nature location	96	Region09
Nature phase	96	approaching
Nature action	97	Nature-evolve
Nature category	97	3
Nature days	97	1
Nature location	97	Region09
