Name	Timestep	Value
Nature phase	441	none
Nature action	442	Nature-evolve
Nature category	442	0
Nature days	442	1
Nature location	442	none
Nature phase	442	none
Nature action	443	Nature-evolve
Nature category	443	0
Nature days	443	2
Nature location	443	none
Nature phase	443	none
Nature action	444	Nature-evolve
Nature category	444	0
Nature days	444	3
Nature location	444	none
Nature phase	444	none
Nature action	445	Nature-evolve
Nature category	445	5
Nature days	445	0
Nature location	445	Region13
Nature phase	445	approaching
Nature action	446	Nature-evolve
Nature category	446	4
Nature days	446	1
Nature location	446	Region13
Nature phase	446	approaching
Nature action	447	Nature-evolve
Nature category	447	4
Nature days	447	2
Nature location	447	Region13
Nature phase	447	approaching
Nature action	448	Nature-evolve
Nature category	448	4
Nature days	448	0
Nature location	448	Region13
Nature phase	448	active
Nature action	449	Nature-evolve
Nature category	449	4
Nature days	449	1
Nature location	449	Region14
Nature phase	449	active
Nature action	450	Nature-evolve
Nature category	450	4
Nature days	450	2
Nature location	450	Region14
Nature phase	450	active
Nature action	451	Nature-evolve
Nature category	451	4
Nature days	451	3
Nature location	451	Region15
Nature phase	451	active
Nature action	452	Nature-evolve
Nature category	452	4
Nature days	452	4
Nature location	452	Region11
Nature phase	452	active
Nature action	453	Nature-evolve
Nature category	453	4
Nature days	453	5
Nature location	453	Region12
Nature phase	453	active
Nature action	454	Nature-evolve
Nature category	454	4
Nature days	454	6
Nature location	454	none
Nature phase	454	active
Nature action	455	Nature-evolve
Nature category	455	0
Nature days	455	0
Nature location	455	none
Nature phase	455	none
Nature action	456	Nature-evolve
Nature category	456	0
Nature days	456	1
Nature location	456	none
Nature phase	456	none
Nature action	457	Nature-evolve
Nature category	457	0
Nature days	457	2
Nature location	457	none
Nature phase	457	none
Nature action	458	Nature-evolve
Nature category	458	0
Nature days	458	3
Nature location	458	none
Nature phase	458	none
Nature action	459	Nature-evolve
Nature category	459	5
Nature days	459	0
Nature location	459	Region09
Nature phase	459	approaching
Nature action	460	Nature-evolve
Nature category	460	5
Nature days	460	1
Nature location	460	Region09
Nature phase	460	approaching
Nature action	461	Nature-evolve
Nature category	461	5
Nature days	461	2
Nature location	461	Region09
Nature phase	461	approaching
Nature action	462	Nature-evolve
Nature category	462	5
Nature days	462	0
Nature location	462	Region09
Nature phase	462	active
Nature action	463	Nature-evolve
Nature category	463	5
Nature days	463	1
Nature location	463	Region05
Nature phase	463	active
Nature action	464	Nature-evolve
Nature category	464	5
Nature days	464	2
Nature location	464	Region06
Nature phase	464	active
Nature action	465	Nature-evolve
Nature category	465	5
Nature days	465	3
Nature location	465	Region02
Nature phase	465	active
Nature action	466	Nature-evolve
Nature category	466	5
Nature days	466	4
Nature location	466	Region03
Nature phase	466	active
Nature action	467	Nature-evolve
Nature category	467	5
Nature days	467	5
Nature location	467	Region03
Nature phase	467	active
Nature action	468	Nature-evolve
Nature category	468	5
Nature days	468	6
Nature location	468	none
Nature phase	468	active
Nature action	469	Nature-evolve
Nature category	469	0
Nature days	469	0
Nature location	469	none
Nature phase	469	none
Nature action	470	Nature-evolve
Nature category	470	0
Nature days	470	1
Nature location	470	none
Nature phase	470	none
Nature action	471	Nature-evolve
Nature category	471	0
Nature days	471	2
Nature location	471	none
Nature phase	471	none
Nature action	472	Nature-evolve
Nature category	472	0
Nature days	472	3
Nature location	472	none
Nature phase	472	none
Nature action	473	Nature-evolve
Nature category	473	4
Nature days	473	0
Nature location	473	Region13
Nature phase	473	approaching
Nature action	474	Nature-evolve
Nature category	474	4
Nature days	474	1
Nature location	474	Region13
Nature phase	474	approaching
Nature action	475	Nature-evolve
Nature category	475	5
Nature days	475	2
Nature location	475	Region13
Nature phase	475	approaching
Nature action	476	Nature-evolve
Nature category	476	5
Nature days	476	0
Nature location	476	Region13
Nature phase	476	active
Nature action	477	Nature-evolve
Nature category	477	5
Nature days	477	1
Nature location	477	Region09
Nature phase	477	active
Nature action	478	Nature-evolve
Nature category	478	5
Nature days	478	2
Nature location	478	Region10
Nature phase	478	active
Nature action	479	Nature-evolve
Nature category	479	5
Nature days	479	3
Nature location	479	Region06
Nature phase	479	active
Nature action	480	Nature-evolve
Nature category	480	5
Nature days	480	4
Nature location	480	Region02
Nature phase	480	active
Nature action	481	Nature-evolve
Nature category	481	5
Nature days	481	5
Nature location	481	none
Nature phase	481	active
Nature action	482	Nature-evolve
Nature category	482	0
Nature days	482	0
Nature location	482	none
Nature phase	482	none
Nature action	483	Nature-evolve
Nature category	483	0
Nature days	483	1
Nature location	483	none
Nature phase	483	none
Nature action	484	Nature-evolve
Nature category	484	0
Nature days	484	2
Nature location	484	none
Nature phase	484	none
Nature action	485	Nature-evolve
Nature category	485	5
Nature days	485	0
Nature location	485	Region13
Nature phase	485	approaching
Nature action	486	Nature-evolve
Nature category	486	4
Nature days	486	1
Nature location	486	Region13
Nature phase	486	approaching
Nature action	487	Nature-evolve
Nature category	487	4
Nature days	487	2
Nature location	487	Region13
Nature phase	487	approaching
Nature action	488	Nature-evolve
Nature category	488	5
Nature days	488	3
Nature location	488	Region13
Nature phase	488	approaching
Nature action	489	Nature-evolve
Nature category	489	5
Nature days	489	0
Nature location	489	Region13
Nature phase	489	active
Nature action	490	Nature-evolve
Nature category	490	5
Nature days	490	1
Nature location	490	Region09
Nature phase	490	active
Nature action	491	Nature-evolve
Nature category	491	5
Nature days	491	2
Nature location	491	Region05
Nature phase	491	active
Nature action	492	Nature-evolve
Nature category	492	5
Nature days	492	3
Nature location	492	Region06
Nature phase	492	active
Nature action	493	Nature-evolve
Nature category	493	5
Nature days	493	4
Nature location	493	Region07
Nature phase	493	active
Nature action	494	Nature-evolve
Nature category	494	5
Nature days	494	5
Nature location	494	Region08
Nature phase	494	active
Nature action	495	Nature-evolve
Nature category	495	5
Nature days	495	6
Nature location	495	none
Nature phase	495	active
Nature action	496	Nature-evolve
Nature category	496	0
Nature days	496	0
Nature location	496	none
Nature phase	496	none
Nature action	497	Nature-evolve
Nature category	497	0
Nature days	497	1
Nature location	497	none
Nature phase	497	none
Nature action	498	Nature-evolve
Nature category	498	0
Nature days	498	2
Nature location	498	none
Nature phase	498	none
Nature action	499	Nature-evolve
Nature category	499	0
Nature days	499	3
Nature location	499	none
Nature phase	499	none
Nature action	500	Nature-evolve
Nature category	500	4
Nature days	500	0
Nature location	500	Region01
Nature phase	500	approaching
Nature action	501	Nature-evolve
Nature category	501	3
Nature days	501	1
Nature location	501	Region01
Nature phase	501	approaching
Nature action	502	Nature-evolve
Nature category	502	3
Nature days	502	2
Nature location	502	Region01
Nature phase	502	approaching
Nature action	503	Nature-evolve
Nature category	503	2
Nature days	503	3
Nature location	503	Region01
Nature phase	503	approaching
Nature action	504	Nature-evolve
Nature category	504	3
Nature days	504	4
Nature location	504	Region01
Nature phase	504	approaching
Nature action	505	Nature-evolve
Nature category	505	3
Nature days	505	5
Nature location	505	Region01
Nature phase	505	approaching
Nature action	506	Nature-evolve
Nature category	506	3
Nature days	506	0
Nature location	506	Region01
Nature phase	506	active
Nature action	507	Nature-evolve
Nature category	507	3
Nature days	507	1
Nature location	507	Region02
Nature phase	507	active
Nature action	508	Nature-evolve
Nature category	508	3
Nature days	508	2
Nature location	508	none
Nature phase	508	active
Nature action	509	Nature-evolve
Nature category	509	0
Nature days	509	0
Nature location	509	none
Nature phase	509	none
Nature action	510	Nature-evolve
Nature category	510	0
Nature days	510	1
Nature location	510	none
Nature phase	510	none
Nature action	511	Nature-evolve
Nature category	511	0
Nature days	511	2
Nature location	511	none
Nature phase	511	none
Nature action	512	Nature-evolve
Nature category	512	1
Nature days	512	0
Nature location	512	Region13
Nature phase	512	approaching
Nature action	513	Nature-evolve
Nature category	513	2
Nature days	513	1
Nature location	513	Region13
Nature phase	513	approaching
Nature action	514	Nature-evolve
Nature category	514	2
Nature days	514	2
Nature location	514	Region13
Nature phase	514	approaching
Nature action	515	Nature-evolve
Nature category	515	2
Nature days	515	0
Nature location	515	Region13
Nature phase	515	active
Nature action	516	Nature-evolve
Nature category	516	2
Nature days	516	1
Nature location	516	Region14
Nature phase	516	active
Nature action	517	Nature-evolve
Nature category	517	2
Nature days	517	2
Nature location	517	Region14
Nature phase	517	active
Nature action	518	Nature-evolve
Nature category	518	2
Nature days	518	3
Nature location	518	Region15
Nature phase	518	active
Nature action	519	Nature-evolve
Nature category	519	2
Nature days	519	4
Nature location	519	Region11
Nature phase	519	active
Nature action	520	Nature-evolve
Nature category	520	2
Nature days	520	5
Nature location	520	Region12
Nature phase	520	active
Nature action	521	Nature-evolve
Nature category	521	2
Nature days	521	6
Nature location	521	Region08
Nature phase	521	active
Nature action	522	Nature-evolve
Nature category	522	2
Nature days	522	7
Nature location	522	none
Nature phase	522	active
Nature action	523	Nature-evolve
Nature category	523	0
Nature days	523	0
Nature location	523	none
Nature phase	523	none
Nature action	524	Nature-evolve
Nature category	524	0
Nature days	524	1
Nature location	524	none
Nature phase	524	none
Nature action	525	Nature-evolve
Nature category	525	0
Nature days	525	2
Nature location	525	none
Nature phase	525	none
Nature action	526	Nature-evolve
Nature category	526	4
Nature days	526	0
Nature location	526	Region13
Nature phase	526	approaching
Nature action	527	Nature-evolve
Nature category	527	4
Nature days	527	1
Nature location	527	Region13
Nature phase	527	approaching
Nature action	528	Nature-evolve
Nature category	528	4
Nature days	528	2
Nature location	528	Region13
Nature phase	528	approaching
Nature action	529	Nature-evolve
Nature category	529	4
Nature days	529	3
Nature location	529	Region13
Nature phase	529	approaching
Nature action	530	Nature-evolve
Nature category	530	4
Nature days	530	4
Nature location	530	Region13
Nature phase	530	approaching
Nature action	531	Nature-evolve
Nature category	531	4
Nature days	531	0
Nature location	531	Region13
Nature phase	531	active
Nature action	532	Nature-evolve
Nature category	532	4
Nature days	532	1
Nature location	532	Region14
Nature phase	532	active
Nature action	533	Nature-evolve
Nature category	533	4
Nature days	533	2
Nature location	533	Region15
Nature phase	533	active
Nature action	534	Nature-evolve
Nature category	534	4
Nature days	534	3
Nature location	534	Region15
Nature phase	534	active
Nature action	535	Nature-evolve
Nature category	535	4
Nature days	535	4
Nature location	535	Region11
Nature phase	535	active
Nature action	536	Nature-evolve
Nature category	536	4
Nature days	536	5
Nature location	536	Region12
Nature phase	536	active
Nature action	537	Nature-evolve
Nature category	537	4
Nature days	537	6
Nature location	537	none
Nature phase	537	active
Nature action	538	Nature-evolve
Nature category	538	0
Nature days	538	0
Nature location	538	none
Nature phase	538	none
Nature action	539	Nature-evolve
Nature category	539	0
Nature days	539	1
Nature location	539	none
Nature phase	539	none
Nature action	540	Nature-evolve
Nature category	540	0
Nature days	540	2
Nature location	540	none
Nature phase	540	none
Nature action	541	Nature-evolve
Nature category	541	0
Nature days	541	3
Nature location	541	none
Nature phase	541	none
Nature action	542	Nature-evolve
Nature category	542	1
Nature days	542	0
Nature location	542	Region05
Nature phase	542	approaching
Nature action	543	Nature-evolve
Nature category	543	2
Nature days	543	1
Nature location	543	Region05
Nature phase	543	approaching
Nature action	544	Nature-evolve
Nature category	544	1
Nature days	544	2
Nature location	544	Region05
Nature phase	544	approaching
Nature action	545	Nature-evolve
Nature category	545	1
Nature days	545	0
Nature location	545	Region05
Nature phase	545	active
Nature action	546	Nature-evolve
Nature category	546	1
Nature days	546	1
Nature location	546	Region06
Nature phase	546	active
Nature action	547	Nature-evolve
Nature category	547	1
Nature days	547	2
Nature location	547	Region02
Nature phase	547	active
Nature action	548	Nature-evolve
Nature category	548	1
Nature days	548	3
Nature location	548	none
Nature phase	548	active
Nature action	549	Nature-evolve
Nature category	549	0
Nature days	549	0
Nature location	549	none
Nature phase	549	none
Nature action	550	Nature-evolve
Nature category	550	0
Nature days	550	1
Nature location	550	none
Nature phase	550	none
Nature action	551	Nature-evolve
Nature category	551	0
Nature days	551	2
Nature location	551	none
Nature phase	551	none
