Timestep	Deaths	Casualties	Evacuees	Sheltered
500	0	0	62	4
501	0	0	62	4
502	0	0	38	3
503	0	0	0	0
504	0	0	0	0
505	0	0	0	0
506	0	0	0	0
507	0	1	28	3
508	0	1	38	4
509	0	1	38	4
510	0	1	36	3
511	0	0	30	3
512	0	0	19	0
513	0	0	9	1
514	0	0	0	0
515	0	0	0	0
516	0	0	18	2
517	0	3	29	4
518	0	1	33	4
519	0	3	40	4
520	0	4	52	0
521	0	2	54	0
522	0	3	57	0
523	0	1	57	0
524	0	1	57	0
525	0	0	57	0
526	0	0	52	0
527	0	0	39	5
528	0	0	25	2
529	0	0	1	0
530	0	0	1	0
531	0	0	1	0
532	0	1	33	4
533	0	5	46	4
534	0	10	53	4
535	0	11	57	4
536	0	17	65	0
537	0	16	65	0
538	0	5	65	0
539	0	1	65	0
540	0	0	65	0
541	0	0	65	0
542	0	0	54	0
543	0	0	45	6
544	0	0	31	2
545	0	0	0	0
546	0	0	15	4
547	0	0	24	4
548	0	1	28	4
549	0	1	28	4
550	0	0	19	3
551	0	0	13	2
