Timestep	EntityIdx	QualData	Metadata
167	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
168	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
169	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
170	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
172	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
373	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
374	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
375	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
376	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
377	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
378	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
379	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
380	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
385	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
386	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
387	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
388	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
389	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
390	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
391	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
392	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
393	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
394	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
395	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
397	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
423	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
424	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
425	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
426	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
427	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
428	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
429	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
430	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
431	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
433	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
438	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
439	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
440	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
441	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
442	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
443	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
444	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
445	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
446	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
447	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
449	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
463	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
477	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
490	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
507	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
508	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
509	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
510	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
511	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
512	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
513	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
514	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
516	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
522	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
523	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
524	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
525	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
526	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
527	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
528	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
529	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
530	[Actor0001-Actor0160]	Many more people evacuated during this hurricane than the previous one.	Based on official records.
532	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
546	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
547	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
548	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
549	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
550	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
551	[Actor0001-Actor0160]	Many fewer people evacuated during this hurricane than the previous one.	Based on official records.
