Name	LongName	Values	VarType	DataType	Notes
Actual Aid Target	Actual Aid Target	[0-100]	dynamic	Integer	2.a
Preferred Aid Target	Preferred Aid Target	[0-100]	dynamic	Integer	2.b
Aid Received	Aid Received	[0-100]	dynamic	Integer	2.c
Aid Expected	Aid Expected	[0-100]	dynamic	Integer	2.d
Shelter Policy	Shelter Policy	[0-100]	dynamic	Integer	2.e
Category Accuracy Government Broadcast	Category Accuracy Government Broadcast	[0-100]	dynamic	Integer	2.f
Category Accuracy Government Officials	Category Accuracy Government Officials	[0-100]	dynamic	Integer	2.g
Category Accuracy Friends	Category Accuracy Friends	[0-100]	dynamic	Integer	2.h
Category Accuracy Acquaintances	Category Accuracy Acquaintances	[0-100]	dynamic	Integer	2.i
Category Accuracy Social Media	Category Accuracy Social Media	[0-100]	dynamic	Integer	2.j
Location Accuracy Government Broadcast	Location Accuracy Government Broadcast	[0-100]	dynamic	Integer	2.k
Location Accuracy Government Officials	Location Accuracy Government Officials	[0-100]	dynamic	Integer	2.l
Location Accuracy Friends	Location Accuracy Friends	[0-100]	dynamic	Integer	2.m
Location Accuracy Acquaintances	Location Accuracy Acquaintances	[0-100]	dynamic	Integer	2.n
Location Accuracy Social Media	Location Accuracy Social Media	[0-100]	dynamic	Integer	2.o
Prediction Accuracy Government Broadcast	Prediction Accuracy Government Broadcast	[0-100]	dynamic	Integer	2.p
Prediction Accuracy Government Officials	Prediction Accuracy Government Officials	[0-100]	dynamic	Integer	2.q
Prediction Accuracy Friends	Prediction Accuracy Friends	[0-100]	dynamic	Integer	2.r
Prediction Accuracy Acquaintances	Prediction Accuracy Acquaintances	[0-100]	dynamic	Integer	2.s
Prediction Accuracy Social Media	Prediction Accuracy Social Media	[0-100]	dynamic	Integer	2.t
Damage Accuracy Government Broadcast	Damage Accuracy Government Broadcast	[0-100]	dynamic	Integer	2.u
Damage Accuracy Government Officials	Damage Accuracy Government Officials	[0-100]	dynamic	Integer	2.v
Damage Accuracy Friends	Damage Accuracy Friends	[0-100]	dynamic	Integer	2.w
Damage Accuracy Acquaintances	Damage Accuracy Acquaintances	[0-100]	dynamic	Integer	2.x
Damage Accuracy social Media	Damage Accuracy social Media	[0-100]	dynamic	Integer	2.y
Casualties Accuracy Government Broadcast	Casualties Accuracy Government Broadcast	[0-100]	dynamic	Integer	2.z
Casualties Accuracy Government Officials	Casualties Accuracy Government Officials	[0-100]	dynamic	Integer	2.aa
Casualties Accuracy Friends	Casualties Accuracy Friends	[0-100]	dynamic	Integer	2.bb
Casualties Accuracy Acquaintances	Casualties Accuracy Acquaintances	[0-100]	dynamic	Integer	2.cc
Casualties Accuracy Social Media	Casualties Accuracy Social Media	[0-100]	dynamic	Integer	2.dd
Warning Accuracy Government Broadcast	Warning Accuracy Government Broadcast	[0-100]	dynamic	Integer	2.ee
Warning Accuracy Government Officials	Warning Accuracy Government Officials	[0-100]	dynamic	Integer	2.ff
Warning Accuracy Friends	Warning Accuracy Friends	[0-100]	dynamic	Integer	2.gg
Warning Accuracy Acquaintances	Warning Accuracy Acquaintances	[0-100]	dynamic	Integer	2.hh
Warning Accuracy Social Media	Warning Accuracy Social Media	[0-100]	dynamic	Integer	2.ii
