Name	LongName	Values	VarType	DataType	Notes
TA2B 21 Hurricane 11 Maximum Category	TA2B 21 Hurricane 11 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 11 Days at Shelter	TA2B 21 Hurricane 11 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 11 Days Evacuated	TA2B 21 Hurricane 11 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 11 Injuries	TA2B 21 Hurricane 11 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 11 Risk	TA2B 21 Hurricane 11 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 11 Wealth	TA2B 21 Hurricane 11 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 11 Property Damage	TA2B 21 Hurricane 11 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 11 Government Assistance	TA2B 21 Hurricane 11 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 11 Friends Evacuated	TA2B 21 Hurricane 11 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 11 Friends Sheltered	TA2B 21 Hurricane 11 Friends Sheltered	[0+]	dynamic	Integer	Q10
