Name	LongName	Values	VarType	DataType	Notes
TA2B 21 Hurricane 1 Maximum Category	TA2B 21 Hurricane 1 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 1 Days at Shelter	TA2B 21 Hurricane 1 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 1 Days Evacuated	TA2B 21 Hurricane 1 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 1 Injuries	TA2B 21 Hurricane 1 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 1 Risk	TA2B 21 Hurricane 1 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 1 Wealth	TA2B 21 Hurricane 1 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 1 Property Damage	TA2B 21 Hurricane 1 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 1 Government Assistance	TA2B 21 Hurricane 1 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 1 Friends Evacuated	TA2B 21 Hurricane 1 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 1 Friends Sheltered	TA2B 21 Hurricane 1 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 2 Maximum Category	TA2B 21 Hurricane 2 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 2 Days at Shelter	TA2B 21 Hurricane 2 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 2 Days Evacuated	TA2B 21 Hurricane 2 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 2 Injuries	TA2B 21 Hurricane 2 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 2 Risk	TA2B 21 Hurricane 2 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 2 Wealth	TA2B 21 Hurricane 2 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 2 Property Damage	TA2B 21 Hurricane 2 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 2 Government Assistance	TA2B 21 Hurricane 2 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 2 Friends Evacuated	TA2B 21 Hurricane 2 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 2 Friends Sheltered	TA2B 21 Hurricane 2 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 3 Maximum Category	TA2B 21 Hurricane 3 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 3 Days at Shelter	TA2B 21 Hurricane 3 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 3 Days Evacuated	TA2B 21 Hurricane 3 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 3 Injuries	TA2B 21 Hurricane 3 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 3 Risk	TA2B 21 Hurricane 3 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 3 Wealth	TA2B 21 Hurricane 3 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 3 Property Damage	TA2B 21 Hurricane 3 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 3 Government Assistance	TA2B 21 Hurricane 3 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 3 Friends Evacuated	TA2B 21 Hurricane 3 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 3 Friends Sheltered	TA2B 21 Hurricane 3 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 4 Maximum Category	TA2B 21 Hurricane 4 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 4 Days at Shelter	TA2B 21 Hurricane 4 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 4 Days Evacuated	TA2B 21 Hurricane 4 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 4 Injuries	TA2B 21 Hurricane 4 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 4 Risk	TA2B 21 Hurricane 4 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 4 Wealth	TA2B 21 Hurricane 4 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 4 Property Damage	TA2B 21 Hurricane 4 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 4 Government Assistance	TA2B 21 Hurricane 4 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 4 Friends Evacuated	TA2B 21 Hurricane 4 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 4 Friends Sheltered	TA2B 21 Hurricane 4 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 5 Maximum Category	TA2B 21 Hurricane 5 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 5 Days at Shelter	TA2B 21 Hurricane 5 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 5 Days Evacuated	TA2B 21 Hurricane 5 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 5 Injuries	TA2B 21 Hurricane 5 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 5 Risk	TA2B 21 Hurricane 5 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 5 Wealth	TA2B 21 Hurricane 5 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 5 Property Damage	TA2B 21 Hurricane 5 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 5 Government Assistance	TA2B 21 Hurricane 5 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 5 Friends Evacuated	TA2B 21 Hurricane 5 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 5 Friends Sheltered	TA2B 21 Hurricane 5 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 6 Maximum Category	TA2B 21 Hurricane 6 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 6 Days at Shelter	TA2B 21 Hurricane 6 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 6 Days Evacuated	TA2B 21 Hurricane 6 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 6 Injuries	TA2B 21 Hurricane 6 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 6 Risk	TA2B 21 Hurricane 6 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 6 Wealth	TA2B 21 Hurricane 6 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 6 Property Damage	TA2B 21 Hurricane 6 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 6 Government Assistance	TA2B 21 Hurricane 6 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 6 Friends Evacuated	TA2B 21 Hurricane 6 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 6 Friends Sheltered	TA2B 21 Hurricane 6 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 7 Maximum Category	TA2B 21 Hurricane 7 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 7 Days at Shelter	TA2B 21 Hurricane 7 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 7 Days Evacuated	TA2B 21 Hurricane 7 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 7 Injuries	TA2B 21 Hurricane 7 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 7 Risk	TA2B 21 Hurricane 7 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 7 Wealth	TA2B 21 Hurricane 7 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 7 Property Damage	TA2B 21 Hurricane 7 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 7 Government Assistance	TA2B 21 Hurricane 7 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 7 Friends Evacuated	TA2B 21 Hurricane 7 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 7 Friends Sheltered	TA2B 21 Hurricane 7 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 8 Maximum Category	TA2B 21 Hurricane 8 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 8 Days at Shelter	TA2B 21 Hurricane 8 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 8 Days Evacuated	TA2B 21 Hurricane 8 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 8 Injuries	TA2B 21 Hurricane 8 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 8 Risk	TA2B 21 Hurricane 8 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 8 Wealth	TA2B 21 Hurricane 8 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 8 Property Damage	TA2B 21 Hurricane 8 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 8 Government Assistance	TA2B 21 Hurricane 8 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 8 Friends Evacuated	TA2B 21 Hurricane 8 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 8 Friends Sheltered	TA2B 21 Hurricane 8 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 9 Maximum Category	TA2B 21 Hurricane 9 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 9 Days at Shelter	TA2B 21 Hurricane 9 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 9 Days Evacuated	TA2B 21 Hurricane 9 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 9 Injuries	TA2B 21 Hurricane 9 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 9 Risk	TA2B 21 Hurricane 9 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 9 Wealth	TA2B 21 Hurricane 9 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 9 Property Damage	TA2B 21 Hurricane 9 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 9 Government Assistance	TA2B 21 Hurricane 9 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 9 Friends Evacuated	TA2B 21 Hurricane 9 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 9 Friends Sheltered	TA2B 21 Hurricane 9 Friends Sheltered	[0+]	dynamic	Integer	Q10
TA2B 21 Hurricane 10 Maximum Category	TA2B 21 Hurricane 10 Maximum Category	[1-5]	dynamic	Integer	Q1
TA2B 21 Hurricane 10 Days at Shelter	TA2B 21 Hurricane 10 Days at Shelter	[0+]	dynamic	Integer	Q2
TA2B 21 Hurricane 10 Days Evacuated	TA2B 21 Hurricane 10 Days Evacuated	[0+]	dynamic	Integer	Q3
TA2B 21 Hurricane 10 Injuries	TA2B 21 Hurricane 10 Injuries	none,self,dependents,selfplusdependents	dynamic	String	Q4
TA2B 21 Hurricane 10 Risk	TA2B 21 Hurricane 10 Risk	[1-7]	dynamic	Integer	Q5
TA2B 21 Hurricane 10 Wealth	TA2B 21 Hurricane 10 Wealth	[1-7]	dynamic	Integer	Q6
TA2B 21 Hurricane 10 Property Damage	TA2B 21 Hurricane 10 Property Damage	[1-7]	dynamic	Integer	Q7
TA2B 21 Hurricane 10 Government Assistance	TA2B 21 Hurricane 10 Government Assistance	[1-7]	dynamic	Integer	Q8
TA2B 21 Hurricane 10 Friends Evacuated	TA2B 21 Hurricane 10 Friends Evacuated	[0+]	dynamic	Integer	Q9
TA2B 21 Hurricane 10 Friends Sheltered	TA2B 21 Hurricane 10 Friends Sheltered	[0+]	dynamic	Integer	Q10
