Name	LongName	Values	VarType	DataType	Notes
TA2A 492 Building Damage Hurricane 1	TA2A 492 Building Damage Hurricane 1	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 1	TA2A 492 Shelter Damage Hurricane 1	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 1	TA2A 492 Shelter Capacity Hurricane 1	[0-100]	dynamic	Integer	Q1d
TA2A 492 Building Damage Hurricane 2	TA2A 492 Building Damage Hurricane 2	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 2	TA2A 492 Shelter Damage Hurricane 2	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 2	TA2A 492 Shelter Capacity Hurricane 2	[0-100]	dynamic	Integer	Q1d
TA2A 492 Building Damage Hurricane 3	TA2A 492 Building Damage Hurricane 3	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 3	TA2A 492 Shelter Damage Hurricane 3	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 3	TA2A 492 Shelter Capacity Hurricane 3	[0-100]	dynamic	Integer	Q1d
TA2A 492 Building Damage Hurricane 4	TA2A 492 Building Damage Hurricane 4	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 4	TA2A 492 Shelter Damage Hurricane 4	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 4	TA2A 492 Shelter Capacity Hurricane 4	[0-100]	dynamic	Integer	Q1d
TA2A 492 Building Damage Hurricane 5	TA2A 492 Building Damage Hurricane 5	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 5	TA2A 492 Shelter Damage Hurricane 5	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 5	TA2A 492 Shelter Capacity Hurricane 5	[0-100]	dynamic	Integer	Q1d
TA2A 492 Building Damage Hurricane 6	TA2A 492 Building Damage Hurricane 6	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 6	TA2A 492 Shelter Damage Hurricane 6	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 6	TA2A 492 Shelter Capacity Hurricane 6	[0-100]	dynamic	Integer	Q1d
TA2A 492 Building Damage Hurricane 7	TA2A 492 Building Damage Hurricane 7	[0-6]	dynamic	Integer	Q1a
TA2A 492 Shelter Damage Hurricane 7	TA2A 492 Shelter Damage Hurricane 7	[0-6]	dynamic	Integer	Q1c
TA2A 492 Shelter Capacity Hurricane 7	TA2A 492 Shelter Capacity Hurricane 7	[0-100]	dynamic	Integer	Q1d
