INFO:root:Instance 9
INFO:root:Participant 7: Actor0138
INFO:root:Participant 8: Actor0006
INFO:root:Participant 9: Actor0062
INFO:root:Participant 10: Actor0134
INFO:root:Participant 11: Actor0119
INFO:root:Participant 12: Actor0035
INFO:root:Participant 13: Actor0130
INFO:root:Participant 14: Actor0084
INFO:root:Participant 15: Actor0044
INFO:root:Participant 16: Actor0092
INFO:root:Instance 11
INFO:root:Participant 1: Actor0109
INFO:root:Participant 2: Actor0144
INFO:root:Participant 3: Actor0062
INFO:root:Participant 4: Actor0060
INFO:root:Participant 5: Actor0140
INFO:root:Participant 6: Actor0002
INFO:root:Participant 7: Actor0110
INFO:root:Participant 8: Actor0143
INFO:root:Participant 9: Actor0046
INFO:root:Participant 10: Actor0127
INFO:root:Participant 11: Actor0136
INFO:root:Participant 12: Actor0106
INFO:root:Participant 13: Actor0107
INFO:root:Participant 14: Actor0073
INFO:root:Participant 15: Actor0055
INFO:root:Participant 16: Actor0072
INFO:root:Instance 12
INFO:root:Participant 1: Actor0127
INFO:root:Participant 2: Actor0069
INFO:root:Participant 3: Actor0121
INFO:root:Participant 4: Actor0015
INFO:root:Participant 5: Actor0075
INFO:root:Participant 6: Actor0028
INFO:root:Participant 7: Actor0081
INFO:root:Participant 8: Actor0082
INFO:root:Participant 9: Actor0039
INFO:root:Participant 10: Actor0046
INFO:root:Participant 11: Actor0016
INFO:root:Participant 12: Actor0006
INFO:root:Participant 13: Actor0151
INFO:root:Participant 14: Actor0077
INFO:root:Participant 15: Actor0005
INFO:root:Participant 16: Actor0057
INFO:root:Instance 13
INFO:root:Participant 1: Actor0148
INFO:root:Participant 2: Actor0064
INFO:root:Participant 3: Actor0140
INFO:root:Participant 4: Actor0004
INFO:root:Participant 5: Actor0011
INFO:root:Participant 6: Actor0014
INFO:root:Participant 7: Actor0015
INFO:root:Participant 8: Actor0072
INFO:root:Participant 9: Actor0144
INFO:root:Participant 10: Actor0149
INFO:root:Participant 11: Actor0020
INFO:root:Participant 12: Actor0131
INFO:root:Participant 13: Actor0053
INFO:root:Participant 14: Actor0067
INFO:root:Participant 15: Actor0034
INFO:root:Participant 16: Actor0083
INFO:root:Instance 14
INFO:root:Participant 1: Actor0143
INFO:root:Participant 2: Actor0119
INFO:root:Participant 3: Actor0034
